Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,4.996,36879,3514,,0.047,mg/L,,
DCM,,5.153,18886,3514,,0.053,mg/L,,
Chloroform,,5.72,30811,3514,,0.053,mg/L,,
Carbon Chloride,,5.922,42903,3514,,0.048,mg/L,,
"1,2-DCE",,5.98,16421,3514,,0.052,mg/L,,
Benzene,,5.993,59313,3514,,0.051,mg/L,,
TCE,,6.232,20789,3514,,0.051,mg/L,,
Toluene,,6.851,69394,3514,,0.052,mg/L,,
PCE,,7.145,21655,3514,,0.049,mg/L,,
Xylene,,7.931,91416,3514,,0.052,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 6:37:24,Data File,VOC10 ST-04.D,,,,,,
Type,Cal,Name,VOC10 ST-04,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,4.991,78075,3313,,0.108,mg/L,,
DCM,,5.148,28590,3313,,0.11,mg/L,,
Chloroform,,5.72,57360,3313,,0.109,mg/L,,
Carbon Chloride,,5.922,89814,3313,,0.108,mg/L,,
"1,2-DCE",,5.98,30932,3313,,0.113,mg/L,,
Benzene,,5.993,113385,3313,,0.11,mg/L,,
TCE,,6.232,40609,3313,,0.108,mg/L,,
Toluene,,6.851,131457,3313,,0.109,mg/L,,
PCE,,7.145,43948,3313,,0.107,mg/L,,
Xylene,,7.931,171715,3313,,0.108,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 6:50:15,Data File,VOC10 ST-05.D,,,,,,
Type,Cal,Name,VOC10 ST-05,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,4.996,167297,4282,,0.181,mg/L,,
DCM,,5.148,54530,4282,,0.183,mg/L,,
Chloroform,,5.72,122365,4282,,0.184,mg/L,,
Carbon Chloride,,5.922,192937,4282,,0.179,mg/L,,
"1,2-DCE",,5.98,64978,4282,,0.189,mg/L,,
Benzene,,5.993,239523,4282,,0.182,mg/L,,
TCE,,6.232,86981,4282,,0.181,mg/L,,
Toluene,,6.851,279582,4282,,0.183,mg/L,,
PCE,,7.145,95064,4282,,0.179,mg/L,,
Xylene,,7.931,369858,4282,,0.182,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 7:03:05,Data File,VOC10 ST-06.D,,,,,,
Type,Cal,Name,VOC10 ST-06,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,4.996,335317,3818,,0.408,mg/L,,
DCM,,5.153,96603,3818,,0.405,mg/L,,
Chloroform,,5.72,237159,3818,,0.406,mg/L,,
Carbon Chloride,,5.922,390081,3818,,0.408,mg/L,,
"1,2-DCE",,5.98,120029,3818,,0.402,mg/L,,
Benzene,,5.993,468424,3818,,0.406,mg/L,,
TCE,,6.232,173160,3818,,0.407,mg/L,,
Toluene,,6.851,545433,3818,,0.406,mg/L,,
PCE,,7.145,192502,3818,,0.408,mg/L,,
Xylene,,7.931,726702,3818,,0.407,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 7:28:51,Data File,BK-.D,,,,,,
Type,Blank,Name,BK-,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3913,,ND,mg/L,,
DCM,,5.153,6610,3913,,0,mg/L,,
Chloroform,,,,3913,,ND,mg/L,,
Carbon Chloride,,,,3913,,ND,mg/L,,
"1,2-DCE",,,,3913,,ND,mg/L,,
Benzene,,,,3913,,ND,mg/L,,
TCE,,,,3913,,ND,mg/L,,
Toluene,,,,3913,,ND,mg/L,,
PCE,,,,3913,,ND,mg/L,,
Xylene,,0,0,3913,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 7:41:42,Data File,FBK(NJ 26-03-26).D,,,,,,
Type,Blank,Name,FBK(NJ 26-03-26),,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3529,,ND,mg/L,,
DCM,,5.153,6327,3529,,0,mg/L,,
Chloroform,,,,3529,,ND,mg/L,,
Carbon Chloride,,,,3529,,ND,mg/L,,
"1,2-DCE",,,,3529,,ND,mg/L,,
Benzene,,,,3529,,ND,mg/L,,
TCE,,,,3529,,ND,mg/L,,
Toluene,,,,3529,,ND,mg/L,,
PCE,,,,3529,,ND,mg/L,,
Xylene,,0,0,3529,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 7:54:37,Data File,NJ-01.D,,,,,,
Type,Sample,Name,NJ-01,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,4407,,ND,mg/L,,
DCM,,5.153,11216,4407,,0.003,mg/L,,
Chloroform,,5.72,0,4407,,ND,mg/L,,
Carbon Chloride,,,,4407,,ND,mg/L,,
"1,2-DCE",,,,4407,,ND,mg/L,,
Benzene,,,,4407,,ND,mg/L,,
TCE,,,,4407,,ND,mg/L,,
Toluene,,,,4407,,ND,mg/L,,
PCE,,,,4407,,ND,mg/L,,
Xylene,,0,0,4407,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 8:07:28,Data File,NJ-02.D,,,,,,
Type,Sample,Name,NJ-02,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3678,,ND,mg/L,,
DCM,,5.153,4434,3678,,0,mg/L,,
Chloroform,,,,3678,,ND,mg/L,,
Carbon Chloride,,,,3678,,ND,mg/L,,
"1,2-DCE",,,,3678,,ND,mg/L,,
Benzene,,,,3678,,ND,mg/L,,
TCE,,,,3678,,ND,mg/L,,
Toluene,,,,3678,,ND,mg/L,,
PCE,,,,3678,,ND,mg/L,,
Xylene,,0,0,3678,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 8:20:24,Data File,NJ-03.D,,,,,,
Type,Sample,Name,NJ-03,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3760,,ND,mg/L,,
DCM,,5.153,3919,3760,,0,mg/L,,
Chloroform,,,,3760,,ND,mg/L,,
Carbon Chloride,,,,3760,,ND,mg/L,,
"1,2-DCE",,,,3760,,ND,mg/L,,
Benzene,,,,3760,,ND,mg/L,,
TCE,,,,3760,,ND,mg/L,,
Toluene,,,,3760,,ND,mg/L,,
PCE,,,,3760,,ND,mg/L,,
Xylene,,0,0,3760,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 8:33:16,Data File,NJ-04.D,,,,,,
Type,Sample,Name,NJ-04,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3521,,ND,mg/L,,
DCM,,5.153,3448,3521,,0,mg/L,,
Chloroform,,,,3521,,ND,mg/L,,
Carbon Chloride,,,,3521,,ND,mg/L,,
"1,2-DCE",,6.019,0,3521,,ND,mg/L,,
Benzene,,,,3521,,ND,mg/L,,
TCE,,,,3521,,ND,mg/L,,
Toluene,,,,3521,,ND,mg/L,,
PCE,,,,3521,,ND,mg/L,,
Xylene,,0,0,3521,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 8:46:13,Data File,NJ-05.D,,,,,,
Type,Sample,Name,NJ-05,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3695,,ND,mg/L,,
DCM,,5.148,3568,3695,,0,mg/L,,
Chloroform,,,,3695,,ND,mg/L,,
Carbon Chloride,,,,3695,,ND,mg/L,,
"1,2-DCE",,,,3695,,ND,mg/L,,
Benzene,,,,3695,,ND,mg/L,,
TCE,,,,3695,,ND,mg/L,,
Toluene,,,,3695,,ND,mg/L,,
PCE,,,,3695,,ND,mg/L,,
Xylene,,0,0,3695,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 8:59:05,Data File,NJ-06.D,,,,,,
Type,Sample,Name,NJ-06,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3514,,ND,mg/L,,
DCM,,5.148,3690,3514,,0,mg/L,,
Chloroform,,,,3514,,ND,mg/L,,
Carbon Chloride,,,,3514,,ND,mg/L,,
"1,2-DCE",,,,3514,,ND,mg/L,,
Benzene,,,,3514,,ND,mg/L,,
TCE,,,,3514,,ND,mg/L,,
Toluene,,,,3514,,ND,mg/L,,
PCE,,,,3514,,ND,mg/L,,
Xylene,,0,0,3514,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 9:11:58,Data File,GS 26-03-30.D,,,,,,
Type,Sample,Name,GS 26-03-30,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3741,,ND,mg/L,,
DCM,,5.148,2269,3741,,0,mg/L,,
Chloroform,,,,3741,,ND,mg/L,,
Carbon Chloride,,,,3741,,ND,mg/L,,
"1,2-DCE",,,,3741,,ND,mg/L,,
Benzene,,,,3741,,ND,mg/L,,
TCE,,,,3741,,ND,mg/L,,
Toluene,,,,3741,,ND,mg/L,,
PCE,,,,3741,,ND,mg/L,,
Xylene,,7.931,0,3741,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 9:24:50,Data File,MBK.D,,,,,,
Type,Blank,Name,MBK,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,,,3938,,ND,mg/L,,
DCM,,5.153,6820,3938,,0,mg/L,,
Chloroform,,,,3938,,ND,mg/L,,
Carbon Chloride,,,,3938,,ND,mg/L,,
"1,2-DCE",,,,3938,,ND,mg/L,,
Benzene,,,,3938,,ND,mg/L,,
TCE,,,,3938,,ND,mg/L,,
Toluene,,,,3938,,ND,mg/L,,
PCE,,,,3938,,ND,mg/L,,
Xylene,,0,0,3938,,ND,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
,,,,,,,,,
Toluene,,,,,,,,,
,,,,,,,,,
PCE,,,,,,,,,
,,,,,,,,,
Xylene,,,,,,,,,
,,,,,,,,,
Batch Data Path,"D:\DATA\2026년\3. 2026년 3월\VOC10(NJ 3.26, GS 3.30)\QuantResults\VOC10.batch.bin",,,,,,,,
Analysis Time,2026-03-31 오후 2:05:46,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Report Generation Time,2026-04-10 오전 11:17:58,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2,,,,,,
Calibration Last Update,2026-03-31 오후 2:05:46,Batch State,Processed,,,,,,
Analyze Quant Version,10.2,Report Quant Version,10.2,,,,,,
Acq. Date-Time,2026-03-30 오후 9:50:37,Data File,-CCV-.D,,,,,,
Type,QC,Name,-CCV-,,,,,,
Dil.,1,Acq. Method File,2025 VOCs(10) NEW,,,,,,
Sample Chromatogram,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units,,
"1,4-DCE",,4.996,169757,3650,,0.215,mg/L,,
DCM,,5.153,50853,3650,,0.204,mg/L,,
Chloroform,,5.72,115029,3650,,0.203,mg/L,,
Carbon Chloride,,5.922,192626,3650,,0.21,mg/L,,
"1,2-DCE",,5.98,62331,3650,,0.214,mg/L,,
Benzene,,5.993,225763,3650,,0.202,mg/L,,
TCE,,6.232,82111,3650,,0.201,mg/L,,
Toluene,,6.851,260760,3650,,0.2,mg/L,,
PCE,,7.145,88486,3650,,0.196,mg/L,,
Xylene,,7.931,338333,3650,,0.196,mg/L,,
"1,4-DCE",,,,,,,,,
,,,,,,,,,
DCM,,,,,,,,,
,,,,,,,,,
Chloroform,,,,,,,,,
,,,,,,,,,
Carbon Chloride,,,,,,,,,
,,,,,,,,,
"1,2-DCE",,,,,,,,,
,,,,,,,,,
Benzene,,,,,,,,,
,,,,,,,,,
TCE,,,,,,,,,
